,County,Year,Month,Fully Vaccinated Rate,One Dose Rate,Up To Date Rate
0,All CA Counties,2019,1,0.0,0.0,0.0
1,All CA Counties,2019,2,0.0,0.0,0.0
2,All CA Counties,2019,3,0.0,0.0,0.0
3,All CA Counties,2019,4,0.0,0.0,0.0
4,All CA Counties,2019,5,0.0,0.0,0.0
5,All CA Counties,2019,6,0.0,0.0,0.0
6,All CA Counties,2019,7,0.0,0.0,0.0
7,All CA Counties,2019,8,0.0,0.0,0.0
8,All CA Counties,2019,9,0.0,0.0,0.0
9,All CA Counties,2019,10,0.0,0.0,0.0
10,All CA Counties,2019,11,0.0,0.0,0.0
11,All CA Counties,2019,12,0.0,0.0,0.0
46,All CA Counties,2020,1,0.0,0.0,0.0
12,All CA Counties,2020,2,0.0,0.0,0.0
13,All CA Counties,2020,3,0.0,0.0,0.0
14,All CA Counties,2020,4,0.0,0.0,0.0
15,All CA Counties,2020,5,0.0,0.0,0.0
16,All CA Counties,2020,6,0.0,0.0,0.0
47,All CA Counties,2020,7,0.0,0.0,0.0
48,All CA Counties,2020,8,0.0,0.0,0.0
49,All CA Counties,2020,9,0.0,0.0,0.0
50,All CA Counties,2020,10,0.0,0.0001,0.0
51,All CA Counties,2020,11,0.0,0.0001,0.0
52,All CA Counties,2020,12,0.0001,0.013999999999999999,0.0
53,All CA Counties,2021,1,0.0172,0.0818,0.0
54,All CA Counties,2021,2,0.0848,0.17079999999999998,0.0
55,All CA Counties,2021,3,0.19920000000000002,0.32880000000000004,0.0
56,All CA Counties,2021,4,0.3554,0.4864,0.0
57,All CA Counties,2021,5,0.474,0.5536,0.0
58,All CA Counties,2021,6,0.5321,0.5875,0.0
59,All CA Counties,2021,7,0.5585,0.6159,0.0
60,All CA Counties,2021,8,0.5878,0.6516,0.0
61,All CA Counties,2021,9,0.616,0.6725,0.0
62,All CA Counties,2021,10,0.6345000000000001,0.6884,0.0
63,All CA Counties,2021,11,0.6516,0.7195,0.0
64,All CA Counties,2021,12,0.6789000000000001,0.7434000000000001,0.0
65,All CA Counties,2022,1,0.6978,0.7664,0.0001
66,All CA Counties,2022,2,0.7092,0.775,0.0001
67,All CA Counties,2022,3,0.7148,0.7798999999999999,0.0001
68,All CA Counties,2022,4,0.7184,0.7835,0.0001
69,All CA Counties,2022,5,0.7212000000000001,0.7866,0.0001
70,All CA Counties,2022,6,0.7234999999999999,0.7907,0.0001
71,All CA Counties,2022,7,0.7263,0.7959,0.0001
72,All CA Counties,2022,8,0.7292000000000001,0.7996,0.0001
73,All CA Counties,2022,9,0.7311,0.8027,0.025
74,All CA Counties,2022,10,0.7325,0.8062,0.0697
75,All CA Counties,2022,11,0.7334,0.8090999999999999,0.1072
76,All CA Counties,2022,12,0.7342,0.8117,0.136
77,All CA Counties,2023,1,0.7131000000000001,0.7893000000000001,0.1446
78,All CA Counties,2023,2,0.7134999999999999,0.7902,0.1506
79,All CA Counties,2023,3,0.7140000000000001,0.7911,0.1555
80,All CA Counties,2023,4,0.7142000000000001,0.7918000000000001,0.16010000000000002
81,All CA Counties,2023,5,0.7143,0.7926000000000001,0.16829999999999998
82,All CA Counties,2023,6,0.7143,0.7933,0.1734
83,All CA Counties,2023,7,0.7143999999999999,0.7939,0.17679999999999998
84,All CA Counties,2023,8,0.7143999999999999,0.7946,0.1809
85,All CA Counties,2023,9,0.7143999999999999,0.7951999999999999,0.1918
86,All CA Counties,2023,10,0.7145,0.7958,0.2096
