,County,Year,Month,Fully Vaccinated Rate,One Dose Rate,Up To Date Rate
0,Alameda,2020,1,0.0,0.0,0.0
1,Alameda,2020,7,0.0,0.0,0.0
2,Alameda,2020,8,0.0,0.0,0.0
3,Alameda,2020,9,0.0,0.0,0.0
4,Alameda,2020,10,0.0,0.0,0.0
5,Alameda,2020,11,0.0,0.0001,0.0
6,Alameda,2020,7,0.0,0.0,0.0
7,Alameda,2020,8,0.0,0.0,0.0
8,Alameda,2020,9,0.0,0.0,0.0
9,Alameda,2020,10,0.0,0.0,0.0
10,Alameda,2020,11,0.0,0.0001,0.0
11,Alameda,2020,12,0.0001,0.0143,0.0
12,Alameda,2021,1,0.0179,0.0756,0.0
13,Alameda,2021,2,0.0825,0.1981,0.0
14,Alameda,2021,3,0.247,0.3625,0.0
15,Alameda,2021,4,0.41850000000000004,0.5906,0.0
16,Alameda,2021,5,0.5851,0.6661,0.0
17,Alameda,2021,6,0.6515000000000001,0.6995,0.0
18,Alameda,2021,7,0.6770999999999999,0.7231000000000001,0.0
19,Alameda,2021,8,0.7014,0.7509999999999999,0.0
20,Alameda,2021,9,0.723,0.7668,0.0
21,Alameda,2021,10,0.7373999999999999,0.7787000000000001,0.0
22,Alameda,2021,11,0.7523000000000001,0.821,0.0
23,Alameda,2021,12,0.7924,0.8484999999999999,0.0001
24,Alameda,2022,1,0.8187000000000001,0.878,0.0001
25,Alameda,2022,2,0.8311,0.8875,0.0001
26,Alameda,2022,3,0.8370000000000001,0.8920999999999999,0.0001
27,Alameda,2022,4,0.8404,0.8957999999999999,0.0001
28,Alameda,2022,5,0.8434999999999999,0.8991,0.0001
29,Alameda,2022,6,0.8459,0.9065000000000001,0.0001
30,Alameda,2022,7,0.8504999999999999,0.9154000000000001,0.0001
31,Alameda,2022,8,0.8554,0.9208,0.0001
32,Alameda,2022,9,0.8591,0.925,0.0388
33,Alameda,2022,10,0.8615999999999999,0.9296,0.111
34,Alameda,2022,11,0.8634000000000001,0.9336,0.1746
35,Alameda,2022,12,0.8648,0.9373999999999999,0.2212
36,Alameda,2023,1,0.8136,0.8826999999999999,0.22690000000000002
37,Alameda,2023,2,0.8144,0.8839,0.2357
38,Alameda,2023,3,0.8151999999999999,0.885,0.24309999999999998
39,Alameda,2023,4,0.8156,0.8858,0.2501
40,Alameda,2023,5,0.8158,0.8865999999999999,0.2664
41,Alameda,2023,6,0.8159000000000001,0.8874,0.2758
42,Alameda,2023,7,0.816,0.8881,0.2816
43,Alameda,2023,8,0.8162,0.8887999999999999,0.28809999999999997
44,Alameda,2023,9,0.8162,0.8893000000000001,0.3014
45,Alameda,2023,10,0.8162,0.8902,0.3329
46,All CA Counties,2020,1,0.0,0.0,0.0
47,All CA Counties,2020,7,0.0,0.0,0.0
48,All CA Counties,2020,8,0.0,0.0,0.0
49,All CA Counties,2020,9,0.0,0.0,0.0
50,All CA Counties,2020,10,0.0,0.0001,0.0
51,All CA Counties,2020,11,0.0,0.0001,0.0
52,All CA Counties,2020,12,0.0001,0.013999999999999999,0.0
53,All CA Counties,2021,1,0.0172,0.0818,0.0
54,All CA Counties,2021,2,0.0848,0.17079999999999998,0.0
55,All CA Counties,2021,3,0.19920000000000002,0.32880000000000004,0.0
56,All CA Counties,2021,4,0.3554,0.4864,0.0
57,All CA Counties,2021,5,0.474,0.5536,0.0
58,All CA Counties,2021,6,0.5321,0.5875,0.0
59,All CA Counties,2021,7,0.5585,0.6159,0.0
60,All CA Counties,2021,8,0.5878,0.6516,0.0
61,All CA Counties,2021,9,0.616,0.6725,0.0
62,All CA Counties,2021,10,0.6345000000000001,0.6884,0.0
63,All CA Counties,2021,11,0.6516,0.7195,0.0
64,All CA Counties,2021,12,0.6789000000000001,0.7434000000000001,0.0
65,All CA Counties,2022,1,0.6978,0.7664,0.0001
66,All CA Counties,2022,2,0.7092,0.775,0.0001
67,All CA Counties,2022,3,0.7148,0.7798999999999999,0.0001
68,All CA Counties,2022,4,0.7184,0.7835,0.0001
69,All CA Counties,2022,5,0.7212000000000001,0.7866,0.0001
70,All CA Counties,2022,6,0.7234999999999999,0.7907,0.0001
71,All CA Counties,2022,7,0.7263,0.7959,0.0001
72,All CA Counties,2022,8,0.7292000000000001,0.7996,0.0001
73,All CA Counties,2022,9,0.7311,0.8027,0.025
74,All CA Counties,2022,10,0.7325,0.8062,0.0697
75,All CA Counties,2022,11,0.7334,0.8090999999999999,0.1072
76,All CA Counties,2022,12,0.7342,0.8117,0.136
77,All CA Counties,2023,1,0.7131000000000001,0.7893000000000001,0.1446
78,All CA Counties,2023,2,0.7134999999999999,0.7902,0.1506
79,All CA Counties,2023,3,0.7140000000000001,0.7911,0.1555
80,All CA Counties,2023,4,0.7142000000000001,0.7918000000000001,0.16010000000000002
81,All CA Counties,2023,5,0.7143,0.7926000000000001,0.16829999999999998
82,All CA Counties,2023,6,0.7143,0.7933,0.1734
83,All CA Counties,2023,7,0.7143999999999999,0.7939,0.17679999999999998
84,All CA Counties,2023,8,0.7143999999999999,0.7946,0.1809
85,All CA Counties,2023,9,0.7143999999999999,0.7951999999999999,0.1918
86,All CA Counties,2023,10,0.7145,0.7958,0.2096
87,Alpine,2020,1,0.0,0.0,0.0
88,Alpine,2020,7,0.0,0.0,0.0
89,Alpine,2020,8,0.0,0.0,0.0
90,Alpine,2020,9,0.0,0.0,0.0
91,Alpine,2020,10,0.0,0.0,0.0
92,Alpine,2020,11,0.0,0.0,0.0
93,Alpine,2020,12,0.0,0.015,0.0
94,Alpine,2021,1,0.0073,0.1547,0.0
95,Alpine,2021,2,0.149,0.2073,0.0
96,Alpine,2021,3,0.19760000000000003,0.3636,0.0
97,Alpine,2021,4,0.34409999999999996,0.42829999999999996,0.0
98,Alpine,2021,5,0.4057,0.44530000000000003,0.0
99,Alpine,2021,6,0.4178,0.44780000000000003,0.0
100,Alpine,2021,7,0.4202,0.451,0.0
101,Alpine,2021,8,0.4219,0.4567,0.0
